speaker_id,name,role,gender,party,faction,terms,utterance_count,category,score,word_count,top_words
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,まちづくり・インフラ,0.34437,17,"浄水,立方,工区,断水,水質"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,農業・水産業,0.17626,10,"肥料,漁港,食料,農村,農道"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,観光・産業,0.251087,14,"旅客,物価,飲食,物品,物流"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,環境・防災,0.514155,24,"軽石,雨水,防除,充電,断水"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,財政・税金,0.369753,21,"加算,財務,滞納,増税,減税"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,行政・議会運営,0.765318,36,"陳情,起用,連帯,連合,政権"
下地信広,下地 信広,文教社会委員会委員長,男,無所属,宮古進政会,"4,5",890,安全保障・基地問題,0.039105,2,"有事,米軍"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,暮らし・福祉,0.166804,7,"空き家,年金,住居,移住,傍聴"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,医療・健康,0.217975,7,"接種,感覚,痛み,産後,病気"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,子ども・教育,0.117764,7,"学年,卒業,教科,休校,学園"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,まちづくり・インフラ,0.364037,13,"電源,汚泥,ｄｘ,ｉｃｔ,ｌｅｄ"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,農業・水産業,0.107658,6,"食料,肥料,飼料,養殖,食材"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,観光・産業,0.218694,8,"物産,物流,ｊｔａ,物価,表彰"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,環境・防災,0.495821,15,"蓄電,冠水,充電,炭素,大雨"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,財政・税金,0.21096,9,"ｐｆｉ,収穫,銀行,賦課,随意"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,行政・議会運営,0.462698,19,"選考,選任,任期,会派,市税"
富浜靖雄,富浜 靖雄,総務財政委員会委員長,男,公明党,公明,"5,6",489,安全保障・基地問題,0.085492,4,"軍艦,戦争,追悼,戦没"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,暮らし・福祉,0.168936,7,"空き家,就農,休業,住居,扶養"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,医療・健康,0.060321,4,"接種,感覚,患者,病気"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,子ども・教育,0.266806,11,"学区,卒業,校長,入学,校区"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,まちづくり・インフラ,0.354906,15,"工務,工区,浄水,用排水,ｌｅｄ"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,農業・水産業,0.472428,15,"耕土,農村,肥育,和牛,飼料"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,観光・産業,0.229247,12,"購買,物価,製造,物産,祝辞"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,環境・防災,0.552344,21,"地震,津波,除草,省エネ,冠水"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,財政・税金,0.246168,11,"返済,収穫,買収,剰余,還元"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,行政・議会運営,0.673031,30,"請願,解散,任用,再任,選考"
狩俣勝成,狩俣 勝成,経済工務委員会委員長,男,無所属,幸政会,"5,6",535,安全保障・基地問題,0.05382,2,"有事,米国"
嘉数登,嘉数 登,市長,,,,,534,暮らし・福祉,0.278879,10,"空き家,住居,難病,休業,人権"
嘉数登,嘉数 登,市長,,,,,534,医療・健康,0.137454,5,"難病,患者,療養,医師,認知"
嘉数登,嘉数 登,市長,,,,,534,子ども・教育,0.229476,11,"学童,卒業,学力,教職員,小児"
嘉数登,嘉数 登,市長,,,,,534,まちづくり・インフラ,0.344191,13,"ｄｘ,用排水,ｌｅｄ,外構,水域"
嘉数登,嘉数 登,市長,,,,,534,農業・水産業,0.234851,10,"牡蠣,食材,養殖,飼料,食料"
嘉数登,嘉数 登,市長,,,,,534,観光・産業,0.282662,12,"物価,旅客,表彰,物流,ｊｔａ"
嘉数登,嘉数 登,市長,,,,,534,環境・防災,0.286046,14,"脱炭,被災,地震,省エネ,汚染"
嘉数登,嘉数 登,市長,,,,,534,財政・税金,0.546261,25,"減給,ｐｆｉ,補佐,税制,還付"
